message,response
I forgot my password,You can reset your password using the 'Forgot Password' link.
How do I cancel my subscription?,Go to your account settings and click 'Cancel Subscription'.
What is the refund policy?,We offer a 30-day money-back guarantee.
I have an issue with my order,Please provide your order ID so we can assist you.
Can I change my shipping address?,Yes, you can update your address in your profile settings.
My payment failed,Please try another payment method or check your card details.
Is support available on weekends?,Yes, we’re available 7 days a week, 8am to 8pm.
Do you have a mobile app?,Yes, download our app on Android or iOS.
The website is slow,We’re working to fix it, thanks for your patience.
I received the wrong item,We're sorry! We'll send a replacement right away.
